time,open,high,low,close,tickvol,vol
2024-12-16,124810.0,125020.0,123320.0,123460.0,4012362,13246331
2024-12-17,123525.0,125430.0,123495.0,124970.0,5344313,16860939
2024-12-18,126755.0,127030.0,122045.0,123175.0,5026828,16089922
2024-12-19,123850.0,123905.0,122800.0,122990.0,4677568,14729387
2024-12-20,122600.0,123980.0,122370.0,123945.0,4079602,12929267
2024-12-23,123450.0,123570.0,122095.0,122175.0,3297620,10457016
2024-12-26,122205.0,123110.0,121660.0,122640.0,3510814,10809641
2024-12-27,122505.0,123075.0,121305.0,121535.0,3488485,10907429
2024-12-30,121505.0,122410.0,121410.0,121620.0,3251837,10171197
2025-01-02,121790.0,122375.0,120300.0,121360.0,3960154,12191969
2025-01-03,121265.0,121565.0,119480.0,119500.0,3604609,11517183
2025-01-06,119925.0,121470.0,119825.0,121080.0,4130922,13082301
2025-01-07,121060.0,122855.0,120915.0,122425.0,4043519,13582809
2025-01-08,122200.0,122350.0,120370.0,120790.0,3883238,12567759
2025-01-09,120775.0,121150.0,120475.0,120750.0,3227501,10856168
2025-01-10,121110.0,121420.0,119655.0,120050.0,3603686,12011941
2025-01-13,119785.0,120650.0,119565.0,119770.0,3478098,11738607
2025-01-14,120230.0,120510.0,119055.0,120325.0,4137605,13342447
2025-01-15,120270.0,123960.0,120270.0,123490.0,3890585,14584454
2025-01-16,123150.0,123420.0,121595.0,121965.0,3796839,13076160
2025-01-17,122565.0,123555.0,121810.0,122875.0,3688828,13021491
2025-01-20,122910.0,124060.0,122245.0,123685.0,3809874,12719229
2025-01-21,123440.0,124310.0,122875.0,124040.0,3502142,11958274
2025-01-22,124230.0,124770.0,123610.0,123760.0,3513601,12057737
2025-01-23,123800.0,124730.0,122830.0,123115.0,3842655,13358733
2025-01-24,123350.0,123565.0,122790.0,123110.0,3104725,10329111
2025-01-27,122350.0,125655.0,122190.0,125500.0,3920993,13525628
2025-01-28,125250.0,125605.0,124485.0,124725.0,3314851,11165109
2025-01-29,124860.0,125535.0,123750.0,123950.0,3518723,11627269
2025-01-30,124450.0,127740.0,124245.0,127445.0,4326148,14811348
2025-01-31,127310.0,128015.0,126505.0,126750.0,3905458,12327484
2025-02-03,125715.0,126900.0,125465.0,126420.0,3921176,12629068
